City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,nova sintra,14.8667,-24.7167,28.01,81,80,1.96,CV,1727655952
115,coyhaique,-45.5752,-72.0662,1.79,99,100,1.06,CL,1727655953
116,longyearbyen,78.2186,15.6401,-0.09,86,20,6.17,SJ,1727655955
117,studley,52.2703,-1.8919,10.9,94,100,3.58,GB,1727655956
118,dudinka,69.4058,86.1778,7.37,96,100,4.44,RU,1727655958
119,labytnangi,66.6572,66.4183,5.32,80,74,4.39,RU,1727655959
120,coquimbo,-29.9533,-71.3436,12.85,77,20,2.57,CL,1727655961
121,novo aripuana,-5.1206,-60.3797,24.02,94,77,1.23,BR,1727655963
122,camden,39.7835,-74.9663,17.77,95,100,0.45,US,1727655964
123,bau,7.4053,124.6497,25.87,85,98,1.18,PH,1727655966
124,puerto ayora,-0.7393,-90.3518,20.31,96,95,2.68,EC,1727655967
125,birobidzhan,48.8,132.95,15.0,88,100,3.07,RU,1727655969
126,ulladulla,-35.35,150.4667,14.18,86,61,5.8,AU,1727655972
127,nilanga,18.1,76.7667,25.91,70,99,1.58,IN,1727655974
128,koidu,8.4167,-10.8333,21.93,100,100,0.93,SL,1727655976
129,kashin,57.3592,37.6081,8.99,83,100,2.58,RU,1727655977
130,petropavlovsk-kamchatsky,53.0452,158.6483,15.33,44,75,3.0,RU,1727655979
131,kazanskoye,55.6448,69.235,11.99,58,99,4.14,RU,1727655980
132,sitka,57.0531,-135.33,11.94,71,75,0.0,US,1727655982
133,east london,-33.0153,27.9116,12.89,60,35,8.19,ZA,1727655984
134,witu,-2.3889,40.4382,22.97,89,63,2.32,KE,1727655985
135,padang,-0.9492,100.3543,24.03,88,100,2.49,ID,1727655987
136,aitape,-3.1374,142.3475,30.08,63,58,1.06,PG,1727655731
137,macau,22.2006,113.5461,29.28,79,0,2.06,MO,1727655990
138,neiva,2.9273,-75.2819,28.94,54,40,2.57,CO,1727655991
139,santa ana,33.7456,-117.8678,28.82,55,20,3.6,US,1727655519
140,bredasdorp,-34.5322,20.0403,9.21,70,14,6.83,ZA,1727655995
141,itaituba,-4.2761,-55.9836,28.92,57,93,0.89,BR,1727655996
142,ghanzi,-21.5667,21.7833,17.37,29,26,6.0,BW,1727655958
143,margaret river,-33.95,115.0667,14.66,78,100,1.66,AU,1727656000
144,dundalk,39.2507,-76.5205,20.63,90,100,4.47,US,1727655834
145,puerto armuelles,8.2833,-82.8667,26.72,77,100,0.45,PA,1727656003
146,okhotsk,59.3833,143.3,5.25,48,27,7.85,RU,1727656004
147,novi sanzhary,49.3439,34.3108,14.4,38,45,3.95,UA,1727656006
148,tibagi,-24.5094,-50.4136,18.46,59,0,2.21,BR,1727656008
149,beypazari,40.1675,31.9211,18.67,42,2,1.38,TR,1727656009
150,shenjiamen,29.9576,122.298,25.76,87,0,4.02,CN,1727656011
151,talnakh,69.4865,88.3972,5.52,98,100,2.52,RU,1727656012
152,griffith,41.5284,-87.4237,21.08,76,100,4.63,US,1727655893
153,albany,42.6001,-73.9662,16.47,72,100,0.45,US,1727656016
154,saint-felicien,48.6501,-72.4491,15.38,63,20,4.12,CA,1727656017
155,lospalos,-8.5186,127.0025,27.31,59,20,5.16,TL,1727656019
156,nema,57.5067,50.5011,14.57,24,100,4.94,RU,1727656020
157,sahy,48.0741,18.9495,10.87,55,92,0.71,SK,1727656022
158,tsiombe,-25.3,45.4833,22.95,72,44,2.01,MG,1727656024
159,whakatane,-37.9585,176.9854,18.62,73,14,2.68,NZ,1727656025
160,aykhal,66.0,111.5,1.05,100,100,2.73,RU,1727656027
161,chimoio,-19.1164,33.4833,23.92,46,0,1.15,MZ,1727656029
